Name,Team,PA,BB%,K%,BB/K,Barrel%,HardHit%,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,R,H,BB,HR,RBI,SB,qual_periods
Josh Rojas,ARI,-7,3.5999999999999996,-5.100000000000001,0.26,4.199999999999999,26.3,0.16199999999999998,0.168,0.258,0.42800000000000005,0.096,-2.2,0.19500000000000003,-0.09999999999999998,-0.10000000000000003,0,9,9.8,0.17800000000000002,120,5,8,2,0,2,0,2
Nick Castellanos,PHI,-11,-6.5,2.400000000000002,-0.28,4.199999999999999,-12.5,0.05200000000000002,0.0020000000000000018,0.07199999999999995,0.07499999999999996,0.02000000000000001,2.7,0.06,0.1,0,0,0,1.7000000000000002,0.02400000000000002,17,1,2,-5,1,3,2,2
Jorge Alfaro,SDP,-10,-1.4000000000000004,24.700000000000003,-0.15000000000000002,4.100000000000001,-1.1999999999999957,-0.118,-0.12499999999999997,-0.382,-0.5069999999999999,-0.265,-0.10000000000000009,0.016000000000000014,0,-0.1,0,-10,-8.100000000000001,-0.20700000000000002,-140,-5,-8,-1,-3,-5,0,2
Wilmer Flores,SFG,-6,11.2,-3.3000000000000007,0.7999999999999999,4.1000000000000005,13.600000000000001,0.05500000000000002,0.11800000000000005,0.22599999999999998,0.345,0.17299999999999996,-0.8,0.035,0,0,0,6,6.300000000000001,0.137,93,0,0,6,1,1,0,2
Matt Reynolds,CIN,-13,11.2,15.3,0.22000000000000003,4.1,-4.5,0.06,0.162,0.03600000000000003,0.19799999999999995,-0.02500000000000001,-2.8000000000000003,0.274,-0.1,0,-0.2,2,3.1,0.09899999999999998,67,2,-2,3,-2,-4,-1,2
Anthony Rizzo,NYY,-37,1.799999999999999,2.8000000000000007,0,4,12,-0.01100000000000001,-0.006000000000000005,0.06499999999999995,0.05900000000000005,0.07599999999999996,-0.7000000000000002,0,0.09999999999999998,0,-0.7,-6,-2.0000000000000004,0.009000000000000008,6,-3,-8,-4,-3,-6,-2,2
J.T. Realmuto,PHI,-27,-3.1000000000000005,4.399999999999999,-0.24000000000000005,3.6999999999999993,10.799999999999997,0.062,0.013000000000000012,0.10400000000000004,0.118,0.04100000000000002,-1.9000000000000004,0.068,-0.09999999999999998,0,-0.5,-1,2.2,0.035999999999999976,24,-5,-2,-4,0,-2,-3,2
Trent Grisham,SDP,-18,7.6,0.40000000000000213,0.31000000000000005,3.6000000000000005,0,-0.033,0.020999999999999963,-0.05499999999999999,-0.03400000000000003,-0.02200000000000002,-2.1,-0.03799999999999998,-0.1,-0.09999999999999998,0,-2,0,-0.0050000000000000044,-4,-10,-6,3,-1,-4,0,2
Yoan Moncada,CHW,20,-5.699999999999999,0,-0.22999999999999998,3.6000000000000005,7.300000000000004,-0.069,-0.09299999999999997,-0.13000000000000006,-0.22299999999999986,-0.060000000000000026,-0.6000000000000001,-0.09399999999999997,0,0,0,-1,-3.1999999999999997,-0.08399999999999996,-59,-1,2,-1,0,3,0,2
Bobby Dalbec,BOS,-8,1.9000000000000004,12.5,-0.06999999999999995,3.5,-5.5,-0.056999999999999995,-0.02999999999999997,-0.10400000000000004,-0.134,-0.046999999999999986,1.9999999999999996,0.02300000000000002,0,0,0.1,-3,-1.8,-0.04799999999999993,-34,-3,-4,0,-1,-3,0,2
Jake Cronenworth,SDP,-16,-0.1999999999999993,5.899999999999999,-0.26,3.5,1.5999999999999943,-0.094,-0.10400000000000004,-0.14200000000000002,-0.246,-0.047000000000000014,-2.5,-0.10099999999999998,-0.09999999999999998,0,-0.2,-9,-7,-0.09900000000000003,-67,-8,-9,-2,0,-9,-1,2
Elvis Andrus,OAK,-6,9.6,5.1,0.42000000000000004,3.4000000000000004,-0.3000000000000007,0.11699999999999999,0.184,0.33899999999999997,0.5210000000000001,0.221,0.19999999999999973,0.10500000000000001,0,0,0.9,9,10.2,0.216,152,3,4,5,3,12,1,2
Whit Merrifield,KCR,-27,-0.1999999999999993,3.1999999999999993,-0.15000000000000002,3.3000000000000003,-15.399999999999999,0.047000000000000014,0.046999999999999986,0.20900000000000002,0.2550000000000001,0.16100000000000003,4.8999999999999995,0.04699999999999993,-0.1,0,0.2,2,5,0.09799999999999998,68,4,-3,-3,2,0,3,2
Cody Bellinger,LAD,-9,0.8999999999999995,-1.8999999999999986,0.04000000000000001,3.3,4.100000000000001,-0.017999999999999988,-0.01100000000000001,-0.04800000000000004,-0.05800000000000005,-0.029000000000000026,0.7000000000000002,-0.025000000000000022,-0.09999999999999998,0,-0.09999999999999998,-2,-0.7999999999999998,-0.02200000000000002,-15,3,-3,0,-1,-4,-1,2
Trevor Story,BOS,-12,-3.8999999999999995,-0.5,-0.12,3.3,-2.5,0.0020000000000000018,-0.034,0.128,0.09399999999999997,0.12700000000000003,-0.2999999999999998,-0.05700000000000002,-0.09999999999999998,0,-0.09999999999999998,0,1.7999999999999998,0.027000000000000024,18,-2,-2,-3,2,2,-1,2
MJ Melendez,KCR,-6,-11.799999999999999,12.400000000000002,-0.76,3.2,15.2,-0.008000000000000007,-0.10599999999999996,0.050000000000000044,-0.05599999999999994,0.059,2.3,-0.0010000000000000009,0,0,0.5,-3,-2.2,-0.043999999999999984,-31,0,0,-9,1,0,0,2
Jose Miranda,MIN,6,-2.8,-12.5,0.17000000000000004,3.000000000000001,-13.600000000000001,0.09399999999999997,0.08200000000000002,0.33999999999999997,0.42100000000000004,0.246,0.6,-0.01100000000000001,0,0,-0.5,7,6.6,0.16599999999999998,117,3,6,-1,4,11,0,2
Spencer Torkelson,DET,5,1.0999999999999996,10.099999999999998,-0.13,3,18.9,0.04000000000000001,0.061,0.10999999999999996,0.172,0.07,-0.10000000000000009,0.08299999999999999,0,0,-0.1,4,3.3,0.07400000000000004,52,2,3,1,1,1,0,2
Taylor Ward,LAA,9,8.700000000000001,2.700000000000003,0.29,3,4,-0.009000000000000008,0.05499999999999994,0.025999999999999968,0.08099999999999996,0.03499999999999999,0.3999999999999999,0.008000000000000007,0,0,0.2,3,1.7,0.03999999999999998,28,-5,0,6,0,2,1,2
Max Kepler,MIN,-8,-3,3.0999999999999996,-0.4700000000000001,2.9000000000000004,-2,0.07500000000000001,0.056999999999999995,0.139,0.19600000000000006,0.065,0.19999999999999996,0.08599999999999997,0,0,-0.4,3,4,0.07699999999999996,54,-1,3,-3,1,0,0,2
Bryan Reynolds,PIT,-20,8.8,-3.599999999999998,0.4599999999999999,2.8999999999999995,7.100000000000001,-0.04499999999999993,0.04400000000000004,-0.03299999999999992,0.01200000000000001,0.011999999999999983,-3.5,-0.06400000000000006,0,0,0.4,-3,-0.5,0.020000000000000018,13,-4,-10,4,-1,-2,0,2
Maikel Franco,WSN,-16,1.4,-4,0.12000000000000002,2.8999999999999995,-2.8000000000000007,-0.07699999999999999,-0.017000000000000015,-0.125,-0.14100000000000001,-0.048,1.9,-0.09,0,0.10000000000000003,0,-3,-0.40000000000000036,-0.04400000000000001,-30,0,-6,0,-1,-2,0,2
Juan Soto,WSN,-6,13.200000000000003,-3.5999999999999996,1.8399999999999999,2.8000000000000007,12.200000000000003,0.262,0.27899999999999997,0.5000000000000001,0.778,0.23800000000000002,-1.7,0.256,0,0.09999999999999998,0.19999999999999998,13,13.799999999999999,0.282,191,6,9,7,3,0,-1,2
Max Muncy,LAD,7,-0.3000000000000007,7,-0.22000000000000008,2.8000000000000007,20,-0.07300000000000001,-0.06999999999999995,0.018000000000000016,-0.052000000000000046,0.091,3.6999999999999997,-0.11700000000000002,0,0,0.30000000000000004,-1,-1.7000000000000002,-0.035999999999999976,-24,3,-3,1,1,1,1,2
Starling Marte,NYM,-4,0.5999999999999996,-2.6999999999999993,0.13000000000000006,2.8000000000000007,0.9000000000000057,0.10699999999999998,0.08800000000000002,0.247,0.3350000000000001,0.14,-4,0.08400000000000007,0,0,0.19999999999999998,5,5.2,0.13,88,-9,4,0,2,1,1,2
Tony Kemp,OAK,-8,-2.500000000000001,13.100000000000001,-0.5800000000000001,2.8,10.399999999999999,-0.12300000000000001,-0.131,-0.23399999999999996,-0.365,-0.111,1.1000000000000005,-0.10300000000000002,0,0,0,-7,-6,-0.14900000000000002,-105,-3,-7,-2,-1,-1,0,2
Mike Yastrzemski,SFG,-13,-4.4,-10.099999999999998,-0.03999999999999998,2.6000000000000005,0,0.027999999999999997,0.006000000000000005,0.01799999999999996,0.02400000000000002,-0.009999999999999981,5.699999999999999,0.02099999999999999,-0.1,0,0.2,0,0.9999999999999998,0.008000000000000007,6,-1,0,-4,-1,1,1,2
Adam Frazier,SEA,-16,-9.9,4.699999999999999,-1.19,2.6,6,0.127,0.038000000000000034,0.19099999999999998,0.22899999999999998,0.063,-0.10000000000000009,0.13499999999999998,-0.10000000000000003,0,-0.4,3,4.6,0.07700000000000001,54,2,5,-7,1,-1,0,2
Jose Abreu,CHW,-8,-10.2,-2.3000000000000007,-0.6,2.5999999999999996,-9.899999999999999,0.14900000000000002,0.068,0.18799999999999994,0.257,0.03899999999999998,0.10000000000000009,0.16200000000000003,-0.09999999999999998,0,0,4,5.5,0.09700000000000003,68,1,11,-9,0,2,0,2
Luis Rengifo,LAA,2,-0.10000000000000009,6.199999999999999,-0.06,2.5,0.8999999999999986,0.09400000000000003,0.07599999999999998,0.176,0.253,0.082,0.7000000000000002,0.09999999999999998,0,0,0.3,5,4.8,0.10399999999999995,73,3,6,0,3,6,2,2
Jace Peterson,MIL,-7,-5.300000000000001,6,-0.27,2.299999999999999,25.4,0.12299999999999997,0.11499999999999999,0.259,0.3739999999999999,0.136,4.3,0.20700000000000002,-0.09999999999999998,0,-0.1,5,5.9,0.16300000000000003,110,4,4,-3,1,-3,2,2
Isiah Kiner-Falefa,NYY,-7,-3.4000000000000004,-4.6,-0.17000000000000004,2.2,17.8,0.06300000000000003,0.009000000000000008,0.06799999999999995,0.07599999999999996,0.0049999999999999975,1.4000000000000004,0.05099999999999999,0,0.09999999999999998,0.7,1,1.4,0.031000000000000028,21,0,2,-2,0,0,1,2
